"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2018-1-2";"3:00AM";"28F";"28F";"100%";"VAR";"2mph";"0mph";"28.99in";"0.0in";"Mist"
"2018-1-2";"4:00AM";"30F";"30F";"100%";"ESE";"6mph";"0mph";"28.99in";"0.0in";"Mist"
"2018-1-2";"4:30AM";"32F";"32F";"100%";"ESE";"7mph";"0mph";"28.99in";"0.0in";"LightRain"
"2018-1-2";"5:00AM";"32F";"30F";"93%";"CALM";"0mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"5:30AM";"32F";"32F";"100%";"NNE";"2mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"6:00AM";"34F";"32F";"93%";"NE";"6mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"7:00AM";"32F";"32F";"100%";"N";"2mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"7:30AM";"30F";"28F";"93%";"VAR";"2mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"8:00AM";"30F";"28F";"93%";"VAR";"2mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"8:30AM";"30F";"30F";"100%";"ENE";"3mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"9:00AM";"30F";"30F";"100%";"VAR";"1mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"9:30AM";"32F";"30F";"93%";"SSE";"1mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"10:00AM";"34F";"32F";"93%";"VAR";"1mph";"0mph";"28.96in";"0.0in";"Fog"
"2018-1-2";"10:30AM";"36F";"34F";"93%";"SE";"2mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"11:00AM";"36F";"34F";"93%";"VAR";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"11:30AM";"39F";"36F";"87%";"VAR";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"12:00PM";"39F";"36F";"87%";"VAR";"1mph";"0mph";"28.96in";"0.0in";"Mist"
"2018-1-2";"12:30PM";"43F";"36F";"76%";"SW";"1mph";"0mph";"28.93in";"0.0in";"Mist"
"2018-1-2";"1:00PM";"41F";"36F";"81%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"Mist"
"2018-1-2";"1:30PM";"45F";"37F";"76%";"VAR";"1mph";"0mph";"28.93in";"0.0in";"Mist"
"2018-1-2";"2:00PM";"45F";"36F";"71%";"CALM";"0mph";"0mph";"28.93in";"0.0in";"MostlyCloudy"
"2018-1-2";"2:30PM";"45F";"37F";"76%";"W";"2mph";"0mph";"28.93in";"0.0in";"MostlyCloudy"
