"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2015-12-2";"3:30AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.45in";"0.0in";"Mist"
"2015-12-2";"4:00AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.45in";"0.0in";"Mist"
"2015-12-2";"4:30AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.45in";"0.0in";"Mist"
"2015-12-2";"5:00AM";"27F";"27F";"100%";"CALM";"0mph";"0mph";"29.48in";"0.0in";"PartlyCloudy"
"2015-12-2";"5:30AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.48in";"0.0in";"MostlyCloudy"
"2015-12-2";"6:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.48in";"0.0in";"Mist"
"2015-12-2";"6:30AM";"32F";"30F";"93%";"CALM";"0mph";"0mph";"29.48in";"0.0in";"Mist"
"2015-12-2";"7:00AM";"32F";"30F";"93%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Mist"
"2015-12-2";"7:30AM";"32F";"30F";"93%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"MostlyCloudy"
"2015-12-2";"8:00AM";"32F";"32F";"100%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Mist"
"2015-12-2";"8:30AM";"32F";"30F";"93%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"9:00AM";"34F";"32F";"93%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"9:30AM";"34F";"34F";"100%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"10:00AM";"36F";"34F";"93%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"10:30AM";"37F";"34F";"87%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"11:00AM";"39F";"36F";"87%";"ESE";"2mph";"0mph";"29.56in";"0.0in";"Mist"
"2015-12-2";"11:30AM";"41F";"36F";"81%";"CALM";"0mph";"0mph";"29.56in";"0.0in";"Mist"
"2015-12-2";"12:00PM";"41F";"37F";"87%";"SW";"2mph";"0mph";"29.53in";"0.0in";"Mist"
"2015-12-2";"12:30PM";"45F";"37F";"76%";"W";"2mph";"0mph";"29.53in";"0.0in";"Mist"
