"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2017-1-1";"1:00AM";"21F";"16F";"80%";"N";"7mph";"0mph";"29.56in";"0.0in";"Fair"
"2017-1-1";"1:30AM";"21F";"14F";"74%";"N";"2mph";"0mph";"29.56in";"0.0in";"Fair"
"2017-1-1";"2:00AM";"21F";"14F";"74%";"N";"5mph";"0mph";"29.56in";"0.0in";"Fair"
"2017-1-1";"2:30AM";"19F";"14F";"80%";"VAR";"2mph";"0mph";"29.56in";"0.0in";"Fair"
"2017-1-1";"3:00AM";"19F";"14F";"80%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"3:30AM";"18F";"14F";"86%";"NNW";"1mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"4:00AM";"16F";"12F";"86%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"4:30AM";"16F";"12F";"86%";"SSE";"2mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"5:00AM";"14F";"10F";"86%";"E";"2mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"5:30AM";"16F";"12F";"86%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"6:00AM";"14F";"12F";"93%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Fair"
"2017-1-1";"6:30AM";"14F";"10F";"86%";"SE";"1mph";"0mph";"29.51in";"0.0in";"Fair"
"2017-1-1";"7:00AM";"14F";"10F";"86%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"7:30AM";"12F";"9F";"85%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"8:00AM";"12F";"9F";"85%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"8:30AM";"12F";"9F";"85%";"ENE";"1mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"9:00AM";"16F";"10F";"79%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"9:30AM";"18F";"14F";"86%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"10:00AM";"21F";"18F";"86%";"CALM";"0mph";"0mph";"29.53in";"0.0in";"Fair"
"2017-1-1";"10:30AM";"25F";"16F";"69%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Fair"
"2017-1-1";"11:00AM";"25F";"18F";"74%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Fair"
"2017-1-1";"11:30AM";"28F";"18F";"64%";"CALM";"0mph";"0mph";"29.51in";"0.0in";"Fair"
"2017-1-1";"12:00PM";"30F";"18F";"60%";"CALM";"0mph";"0mph";"29.48in";"0.0in";"Fair"
"2017-1-1";"12:30PM";"32F";"18F";"55%";"CALM";"0mph";"0mph";"29.45in";"0.0in";"Fair"
"2017-1-1";"1:00PM";"34F";"18F";"52%";"CALM";"0mph";"0mph";"29.45in";"0.0in";"Fair"
"2017-1-1";"1:30PM";"34F";"18F";"52%";"SSW";"3mph";"0mph";"29.42in";"0.0in";"Fair"
"2017-1-1";"2:00PM";"36F";"16F";"44%";"SSW";"3mph";"0mph";"29.42in";"0.0in";"Fair"
"2017-1-1";"2:30PM";"36F";"16F";"44%";"SSW";"3mph";"0mph";"29.42in";"0.0in";"Fair"
"2017-1-1";"3:00PM";"39F";"16F";"39%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"3:30PM";"37F";"16F";"41%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"4:00PM";"39F";"16F";"39%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"4:30PM";"37F";"16F";"41%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"5:00PM";"36F";"16F";"44%";"W";"2mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"5:30PM";"32F";"16F";"51%";"NNW";"2mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"6:00PM";"27F";"16F";"64%";"E";"3mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"6:30PM";"27F";"16F";"64%";"E";"3mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"7:00PM";"27F";"16F";"64%";"VAR";"1mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"7:30PM";"25F";"14F";"64%";"VAR";"1mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"8:00PM";"23F";"14F";"68%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"8:30PM";"23F";"14F";"68%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"9:00PM";"23F";"14F";"68%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"9:30PM";"21F";"14F";"74%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"10:00PM";"19F";"12F";"74%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"10:30PM";"19F";"12F";"74%";"E";"2mph";"0mph";"29.39in";"0.0in";"Fair"
"2017-1-1";"11:00PM";"19F";"12F";"74%";"NE";"3mph";"0mph";"29.39in";"0.0in";"Fair"
